DELITOS COMETIDOS EN JUJUY - MUESTRA;;;;;;;;;;;
;;;;;;;;;;;
;dependencia;delito;;;victima;;inculpado;;delito;;
;ordinal;nominal;ordinal;ordinal;nominal;discreta;nominal;discreta;nominal;nominal;nominal
cod_lugar;comisaria;delito;fecha;hora;sexo_victima;edad_victima;sexo_inculpado;edad_inculpado;localidad;modus_operandis;detalle_de_lugar
4;30;ROBO;11/8/2018;18:30;MASCULINO;22;;;;AGRESION CON ARMA BLANCA;Via Publica
4;48;ROBO;11/8/2018;21:30;MASCULINO;49;;;LIBERTADOR GRAL. SAN MARTIN;Agresión con Arma Blanca;Via Publica
4;27;HURTO;17/8/2018;01:00;MASCULINO;40;;;LIBERTADOR GRAL. SAN MARTIN;Sustracción Bienes Rodados;Via Publica
4;57;ROBO;21/8/2018;23:10;MASCULINO;28;;;;Sustracción Bienes Rodados;Via Publica
4;42;HURTO;30/7/2018;20:30;FEMENINO;52;;;LIBERTADOR GRAL. SAN MARTIN;AGRESION CON SUSTANCIA;Domicilio Particular
5;46;ROBO;21/7/2018;01:30;MASCULINO;31;MASCULINO;;LA QUIACA;AGRESION FISICA;Via Publica
5;43;HURTO;12/7/2018;17:00;FEMENINO;31;;;LA QUIACA;SUSTRACCION DE BIENES RODADOS;Via Publica
5;33;ROBO;15/8/2018;14:00;MASCULINO;30;;;;AGRESION CON ARMA BLANCA;Via Publica
5;64;ROBO;23/8/2018;22:30;MASCULINO;40;;;LA QUIACA;Agresión con Arma Blanca;Via Publica
6;42;ROBO;13/8/2018;20:00;FEMENINO;;MASCULINO;39;;Agresión Física;Domicilio Particular
6;34;ROBO;26/7/2018;19:15;FEMENINO;37;MASCULINO;;PERICO;AGRESION FISICA;Via Publica
6;54;ROBO;24/8/2018;08:30;MASCULINO;64;FEMENINO;;;AGRESION CON SUSTANCIAS;Via Publica
6;54;ROBO;26/7/2018;19:15;FEMENINO;37;MASCULINO;;PERICO;AGRESION FISICA;Via Publica
6;60;ROBO;2/8/2018;01:30;MASCULINO;;MASCULINO;;PERICO;Agresión Física;Via Publica
6;33;ROBO;16/8/2018;18:20;FEMENINO;47;MASCULINO;;PERICO;Agresión Física;Via Publica
6;13;ROBO;5/7/2018;16:10;MASCULINO;13;MASCULINO;;MONTERRICO;AGRESION FISICA;Via Publica
6;32;ROBO;15/7/2018;04:00;MASCULINO;48;MASCULINO;;;AGRESION FISICA;Via Publica
6;23;HURTO;29/6/2018;20:30;FEMENINO;43;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;28;HURTO;30/6/2018;15:30;FEMENINO;45;;;PERICO;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
6;28;HURTO;30/6/2018;21:00;FEMENINO;35;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;53;DAÑO;4/7/2018;14:30;FEMENINO;35;;;EL CARMEN;Agresión Física;Via Publica
6;37;HURTO;8/7/2018;23:00;FEMENINO;47;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;21;ROBOS;11/7/2018;03:30;FEMENINO;65;;;PERICO;AGRESION FISICA;Domicilio Particular
6;38;HURTO;10/7/2018;17:00;FEMENINO;44;;;EL CARMEN;SUSTRACCION DE BIENES RODADOS;Via Publica
6;13;HURTO;10/7/2018;21:20;FEMENINO;26;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;49;HURTO;21/7/2018;22:00;FEMENINO;51;;;PERICO;SUSTRACCION DE BIENES RODADOS;Via Publica
6;63;ROBO;19/6/2018;09:30;FEMENINO;24;;;;AGRESION FISICA;Via Publica
